EOMONTH,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2005-10-31,5.457169533,34.65372467,19.7865696,19.7938652,13.33246326,38.30145645,33.39564133,343.739563,19.28113937,24.43467903,1.76863575,52.91238022,10.91827869,39.7020874,33.55623245,13.00859165,22.78674316,10.25275421,13.52261543,33.61261749
2005-11-30,5.332549095,38.07361603,20.24124718,21.63820457,13.39206696,38.37924194,34.27798843,368.09375,20.30620384,25.52228737,2.082807779,57.586586,10.73870087,39.35552216,34.86298752,12.89479733,23.09355927,10.70843315,13.72431087,36.46648407
2005-12-31,5.063622952,38.06705475,19.66868019,21.55511093,12.64544868,38.46897125,33.13611984,367.9420776,20.29974174,26.48312378,2.207800388,53.24653625,11.81256771,38.30391312,33.74555588,13.26018143,23.49417114,10.52788258,12.92609119,42.22269821
2006-01-31,5.693758965,44.92047882,20.76822472,22.37972069,12.98111534,37.23181534,32.64756775,353.1578064,20.14789581,26.74944687,2.318974257,52.66353989,13.008008,36.67234421,37.69865036,16.71822166,23.8390007,11.30642128,13.76321602,48.86444473
2006-02-28,5.288958073,48.34742355,22.96730423,22.31580353,13.16620159,38.48849487,32.11655807,355.3235779,20.91679192,27.68484688,2.103383303,52.10742569,13.39400578,36.95056534,35.85754013,15.43008232,23.55444336,12.02097034,14.65003872,41.84313583
2006-03-31,5.282322884,47.50723267,22.88525009,21.96422386,13.23072433,37.79342651,33.57149124,361.9135437,20.8092804,28.02132034,1.926181912,53.55554962,12.7445097,37.95684052,36.75745773,16.64743805,22.33742142,11.78133583,14.80654335,41.10590363
2006-04-30,4.677036762,50.26630783,22.9426899,22.09846115,13.25916672,38.08773041,32.00093842,386.7249146,22.37966728,30.78777313,2.161734581,53.47115707,12.9541893,37.56588364,38.09825897,17.3446331,22.14230156,11.56182575,14.5296402,46.23126984
2006-05-31,4.818357944,48.41466904,25.02689552,21.20351601,13.91327858,39.53954315,34.55214691,381.6923523,21.79070663,28.92883873,1.835585713,52.07421112,12.21504593,38.83738327,36.9726944,16.48681641,22.94762421,11.49565601,13.72903442,41.3118782
2006-06-30,4.663578033,49.43009186,24.61662102,21.47839546,13.69212532,39.46049118,34.35245514,373.5631104,22.02380562,28.49463654,1.758808374,50.06685257,12.1169529,38.64388275,37.2397728,18.29915237,23.12453842,12.3029108,14.73199177,42.009655
2006-07-31,4.521420956,47.23907852,24.36224937,22.62263107,14.16316891,41.65565872,31.73521614,374.0275879,23.75078011,31.2032032,2.087106943,50.45139694,13.41796398,40.34005356,41.11854172,19.91159058,24.38899231,13.38907146,15.06037712,40.66038895
2006-08-31,5.673807621,44.22622681,24.32943153,22.94865417,14.26183701,42.90440369,32.01282501,385.9613342,22.99586868,31.2305603,2.083728313,52.98205948,14.36026287,41.94282532,41.26662064,18.42557907,24.34602165,13.89802647,15.66600227,40.67627335
2006-09-30,5.484002113,43.8596077,25.36332512,25.00699425,14.31958675,43.08954239,35.3057251,388.4639587,23.94218254,32.11972809,2.364118814,53.61676407,14.77709866,42.12446213,40.91902924,16.96918106,24.34602165,14.53645515,16.53435516,33.99633789
2006-10-31,5.612796783,40.64332581,25.8146286,26.7968502,14.97339439,41.8878212,35.27709198,392.2962646,24.01496887,32.6807518,2.490032911,60.4153862,13.88609695,43.72016907,43.55344772,19.06551361,25.47900009,15.44817257,16.65481949,36.00035095
